,period,actual,predicted,sector,feild
1,01-2001,27374.749,30631.797,Commercial,Sales
6,02-2001,25176.39009,29761.51,Commercial,Sales
11,03-2001,25785.82429,29226.055,Commercial,Sales
16,04-2001,23702.71118,28270.555,Commercial,Sales
21,05-2001,26665.89346,23649.12,Commercial,Sales
26,06-2001,28280.51892,28946.88,Commercial,Sales
31,07-2001,30596.86883,29001.258,Commercial,Sales
36,08-2001,34606.618370000004,29120.117,Commercial,Sales
41,09-2001,27263.81667,28722.262,Commercial,Sales
46,10-2001,26457.17713,27925.73,Commercial,Sales
51,11-2001,24567.45328,29074.258,Commercial,Sales
56,12-2001,25769.587190000002,28514.098,Commercial,Sales
61,01-2002,25524.010270000002,30069.799,Commercial,Sales
66,02-2002,23786.80177,30692.145,Commercial,Sales
71,03-2002,24861.20937,27002.156,Commercial,Sales
76,04-2002,24537.944050000002,26733.303,Commercial,Sales
81,05-2002,25266.4688,26643.592,Commercial,Sales
86,06-2002,28518.14605,29092.713,Commercial,Sales
91,07-2002,31648.32532,29900.275,Commercial,Sales
96,08-2002,30768.77539,30679.684,Commercial,Sales
101,09-2002,27766.72284,28764.941,Commercial,Sales
106,10-2002,27712.71129,25521.535,Commercial,Sales
111,11-2002,24734.31753,29098.748,Commercial,Sales
116,12-2002,26839.94134,29231.885,Commercial,Sales
121,01-2003,29950.7872,30846.26,Commercial,Sales
126,02-2003,26891.18028,33101.863,Commercial,Sales
131,03-2003,28041.10957,29476.883,Commercial,Sales
136,04-2003,25758.13653,28181.121,Commercial,Sales
141,05-2003,27397.91844,26378.701,Commercial,Sales
146,06-2003,29116.763939999997,29185.021,Commercial,Sales
151,07-2003,32990.41754,29872.281,Commercial,Sales
156,08-2003,33040.32471,29401.438,Commercial,Sales
161,09-2003,28467.37602,29012.643,Commercial,Sales
166,10-2003,28406.64066,26986.232,Commercial,Sales
171,11-2003,26181.13236,29037.633,Commercial,Sales
176,12-2003,28130.72474,29619.848,Commercial,Sales
181,01-2004,29325.52595,31237.16,Commercial,Sales
186,02-2004,27568.9772,32160.578,Commercial,Sales
191,03-2004,28059.961769999998,28915.72,Commercial,Sales
196,04-2004,26469.26148,28457.586,Commercial,Sales
201,05-2004,28313.5184,28504.838,Commercial,Sales
206,06-2004,29543.97262,29743.133,Commercial,Sales
211,07-2004,31917.37545,30129.918,Commercial,Sales
216,08-2004,31236.423,29877.281,Commercial,Sales
221,09-2004,30425.13679,29047.656,Commercial,Sales
226,10-2004,28181.51595,26905.01,Commercial,Sales
231,11-2004,27192.8344,29692.43,Commercial,Sales
236,12-2004,28984.91098,29440.158,Commercial,Sales
241,01-2005,29493.34938,34442.6,Commercial,Sales
246,02-2005,27225.63511,34532.703,Commercial,Sales
251,03-2005,29242.1818,30613.875,Commercial,Sales
256,04-2005,26897.30164,30161.07,Commercial,Sales
261,05-2005,28490.84348,28163.125,Commercial,Sales
266,06-2005,34138.70722,30321.008,Commercial,Sales
271,07-2005,34566.2757,30037.26,Commercial,Sales
276,08-2005,35050.15188,29640.973,Commercial,Sales
281,09-2005,31864.46397,29746.76,Commercial,Sales
286,10-2005,30237.33095,29329.598,Commercial,Sales
291,11-2005,28319.00204,29443.441,Commercial,Sales
296,12-2005,30288.30284,30110.148,Commercial,Sales
301,01-2006,29269.4945,33035.96,Commercial,Sales
306,02-2006,27945.35296,34877.824,Commercial,Sales
311,03-2006,29498.52421,30450.807,Commercial,Sales
316,04-2006,26998.26178,29584.824,Commercial,Sales
321,05-2006,30297.37586,28474.89,Commercial,Sales
326,06-2006,31844.90503,29976.229,Commercial,Sales
331,07-2006,35382.4572,30062.225,Commercial,Sales
336,08-2006,35180.37364,29393.057,Commercial,Sales
341,09-2006,30578.64439,29823.637,Commercial,Sales
346,10-2006,30189.80606,28706.936,Commercial,Sales
351,11-2006,27953.49463,29860.37,Commercial,Sales
356,12-2006,30173.89176,31041.105,Commercial,Sales
361,01-2007,30025.66996,34146.867,Commercial,Sales
366,02-2007,29052.41794,32113.113,Commercial,Sales
371,03-2007,29782.52082,31328.28,Commercial,Sales
376,04-2007,28275.97774,30115.387,Commercial,Sales
381,05-2007,31267.53868,29827.92,Commercial,Sales
386,06-2007,33757.41007,30234.424,Commercial,Sales
391,07-2007,34268.98268,29983.6,Commercial,Sales
396,08-2007,36685.84796,29802.816,Commercial,Sales
401,09-2007,31976.35101,30013.693,Commercial,Sales
